,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
338,45,28.0,Niklas Kronwall,6,80,51,D,2008-09,DET
339,15,29.0,Niklas Kronwall,7,48,22,D,2009-10,DET
340,26,30.0,Niklas Kronwall,11,77,37,D,2010-11,DET
341,21,31.0,Niklas Kronwall,15,82,36,D,2011-12,DET
342,24,32.0,Niklas Kronwall,5,48,29,D,2012-13,DET
343,41,33.0,Niklas Kronwall,8,79,49,D,2013-14,DET
344,35,34.0,Niklas Kronwall,9,80,44,D,2014-15,DET
345,23,35.0,Niklas Kronwall,3,64,26,D,2015-16,DET
346,11,36.0,Niklas Kronwall,2,57,13,D,2016-17,DET
347,23,37.0,Niklas Kronwall,4,79,27,D,2017-18,DET
348,23,19.0,Nikolaj Ehlers,15,72,38,RW,2015-16,WPG
349,39,20.0,Nikolaj Ehlers,25,82,64,LW,2016-17,WPG
350,31,21.0,Nikolaj Ehlers,29,82,60,LW,2017-18,WPG
351,1,24.0,Noel Acciari,0,19,1,C,2015-16,BOS
352,3,25.0,Noel Acciari,2,29,5,C,2016-17,BOS
353,1,26.0,Noel Acciari,10,60,11,C,2017-18,BOS
354,23,18.0,Patrice Bergeron,16,71,39,C,2003-04,BOS
355,42,20.0,Patrice Bergeron,31,81,73,C,2005-06,BOS
356,48,21.0,Patrice Bergeron,22,77,70,C,2006-07,BOS
357,4,22.0,Patrice Bergeron,3,10,7,C,2007-08,BOS
358,31,23.0,Patrice Bergeron,8,64,39,C,2008-09,BOS
359,33,24.0,Patrice Bergeron,19,73,52,C,2009-10,BOS
360,35,25.0,Patrice Bergeron,22,80,57,C,2010-11,BOS
361,42,26.0,Patrice Bergeron,22,81,64,C,2011-12,BOS
362,22,27.0,Patrice Bergeron,10,42,32,C,2012-13,BOS
363,32,28.0,Patrice Bergeron,30,80,62,C,2013-14,BOS
364,32,29.0,Patrice Bergeron,23,81,55,C,2014-15,BOS
365,36,30.0,Patrice Bergeron,32,80,68,C,2015-16,BOS
366,32,31.0,Patrice Bergeron,21,79,53,C,2016-17,BOS
367,33,32.0,Patrice Bergeron,30,64,63,C,2017-18,BOS
368,28,18.0,Patrik Laine,36,73,64,RW,2016-17,WPG
369,26,19.0,Patrik Laine,44,82,70,RW,2017-18,WPG
370,0,21.0,Paul Postma,0,1,0,D,2010-11,ATL
371,0,22.0,Paul Postma,0,3,0,D,2011-12,WPG
372,5,23.0,Paul Postma,4,34,9,D,2012-13,WPG
373,2,24.0,Paul Postma,1,20,3,D,2013-14,WPG
374,4,25.0,Paul Postma,2,42,6,D,2014-15,WPG
375,0,26.0,Paul Postma,2,26,2,D,2015-16,WPG
376,13,27.0,Paul Postma,1,65,14,D,2016-17,WPG
377,1,28.0,Paul Postma,0,14,1,D,2017-18,BOS
378,50,21.0,Paul Stastny,28,82,78,C,2006-07,COL
379,47,22.0,Paul Stastny,24,66,71,C,2007-08,COL
380,25,23.0,Paul Stastny,11,45,36,C,2008-09,COL
381,59,24.0,Paul Stastny,20,81,79,C,2009-10,COL
382,35,25.0,Paul Stastny,22,74,57,C,2010-11,COL
383,32,26.0,Paul Stastny,21,79,53,C,2011-12,COL
384,15,27.0,Paul Stastny,9,40,24,C,2012-13,COL
385,35,28.0,Paul Stastny,25,71,60,C,2013-14,COL
386,30,29.0,Paul Stastny,16,74,46,C,2014-15,STL
387,39,30.0,Paul Stastny,10,64,49,C,2015-16,STL
388,22,31.0,Paul Stastny,18,66,40,C,2016-17,STL
389,9,32.0,Paul Stastny,4,19,13,C,2017-18,WPG
390,2,21.0,Peter Cehlarik,0,11,2,LW,2016-17,BOS
391,1,22.0,Peter Cehlarik,1,6,2,LW,2017-18,BOS
392,22,18.0,Rick Nash,17,74,39,LW,2002-03,CBJ
393,16,19.0,Rick Nash,41,80,57,LW,2003-04,CBJ
394,23,21.0,Rick Nash,31,54,54,LW,2005-06,CBJ
395,30,22.0,Rick Nash,27,75,57,LW,2006-07,CBJ
396,31,23.0,Rick Nash,38,80,69,LW,2007-08,CBJ
397,39,24.0,Rick Nash,40,78,79,LW,2008-09,CBJ
398,34,25.0,Rick Nash,33,76,67,LW,2009-10,CBJ
399,34,26.0,Rick Nash,32,75,66,LW,2010-11,CBJ
400,29,27.0,Rick Nash,30,82,59,LW,2011-12,CBJ
401,21,28.0,Rick Nash,21,44,42,LW,2012-13,NYR
402,13,29.0,Rick Nash,26,65,39,LW,2013-14,NYR
403,27,30.0,Rick Nash,42,79,69,LW,2014-15,NYR
404,21,31.0,Rick Nash,15,60,36,LW,2015-16,NYR
405,15,32.0,Rick Nash,23,67,38,RW,2016-17,NYR
406,3,33.0,Rick Nash,3,11,6,LW,2017-18,BOS
407,1,22.0,Riley Nash,0,5,1,C,2011-12,CAR
