,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
33,12,21,Brett Pesce,4,69,16,D,2015,CAR
34,18,22,Brett Pesce,2,82,20,D,2016,CAR
35,16,23,Brett Pesce,3,65,19,D,2017,CAR
,12,12,Brett Pesce,3,82,12,LW,2019,CAR
,12,12,Brett Pesce,2,82,12,LW,2020,CAR
,12,12,Brett Pesce,2,82,12,LW,2021,CAR
,12,12,Brett Pesce,2,82,12,LW,2022,CAR
,12,12,Brett Pesce,1,82,12,LW,2023,CAR
36,4,22,Brian Lashoff,1,31,5,D,2012,DET
37,5,23,Brian Lashoff,1,75,6,D,2013,DET
38,2,24,Brian Lashoff,0,11,2,D,2014,DET
39,0,26,Brian Lashoff,0,5,0,D,2016,DET
40,0,27,Brian Lashoff,0,1,0,D,2017,DET
,12,12,Brian Lashoff,0,82,12,LW,2019,DET
,12,12,Brian Lashoff,0,82,12,LW,2020,DET
,12,12,Brian Lashoff,0,82,12,LW,2021,DET
,12,12,Brian Lashoff,0,82,12,LW,2022,DET
,12,12,Brian Lashoff,0,82,12,LW,2023,DET
41,1,21,Brock McGinn,3,21,4,LW,2015,CAR
42,9,22,Brock McGinn,7,57,16,LW,2016,CAR
43,14,23,Brock McGinn,16,80,30,LW,2017,CAR
,12,12,Brock McGinn,12,82,12,LW,2019,CAR
,12,12,Brock McGinn,10,82,12,LW,2020,CAR
,12,12,Brock McGinn,9,82,12,LW,2021,CAR
,12,12,Brock McGinn,9,82,12,LW,2022,CAR
,12,12,Brock McGinn,6,82,12,LW,2023,CAR
44,10,20,Bryan Little,6,48,16,C,2007,ATL
45,20,21,Bryan Little,31,79,51,RW,2008,ATL
46,21,22,Bryan Little,13,79,34,C,2009,ATL
47,30,23,Bryan Little,18,76,48,C,2010,ATL
48,22,24,Bryan Little,24,74,46,C,2011,WPG
49,25,25,Bryan Little,7,48,32,C,2012,WPG
50,41,26,Bryan Little,23,82,64,RW,2013,WPG
51,28,27,Bryan Little,24,70,52,C,2014,WPG
52,25,28,Bryan Little,17,57,42,C,2015,WPG
53,26,29,Bryan Little,21,59,47,C,2016,WPG
54,27,30,Bryan Little,16,82,43,C,2017,WPG
,12,12,Bryan Little,17,82,12,LW,2019,WPG
,12,12,Bryan Little,14,82,12,LW,2020,WPG
,12,12,Bryan Little,10,82,12,LW,2021,WPG
,12,12,Bryan Little,10,82,12,LW,2022,WPG
,12,12,Bryan Little,9,82,12,LW,2023,WPG
55,1,22,Danny DeKeyser,0,11,1,D,2012,DET
56,19,23,Danny DeKeyser,4,65,23,D,2013,DET
57,29,24,Danny DeKeyser,2,80,31,D,2014,DET
58,12,25,Danny DeKeyser,8,78,20,D,2015,DET
59,8,26,Danny DeKeyser,4,82,12,D,2016,DET
60,6,27,Danny DeKeyser,6,65,12,D,2017,DET
,12,12,Danny DeKeyser,3,82,12,LW,2019,DET
,12,12,Danny DeKeyser,3,82,12,LW,2020,DET
,12,12,Danny DeKeyser,0,82,12,LW,2021,DET
,12,12,Danny DeKeyser,0,82,12,LW,2022,DET
,12,12,Danny DeKeyser,0,82,12,LW,2023,DET
61,0,21,Darren Helm,0,7,0,C,2007,DET
62,1,22,Darren Helm,0,16,1,C,2008,DET
63,13,23,Darren Helm,11,75,24,C,2009,DET
64,20,24,Darren Helm,12,82,32,C,2010,DET
65,17,25,Darren Helm,9,68,26,C,2011,DET
66,0,26,Darren Helm,0,1,0,C,2012,DET
67,8,27,Darren Helm,12,42,20,C,2013,DET
