,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
,12,12,Kyle Connor,31,82,12,LW,2021,WPG
,12,12,Kyle Connor,31,82,12,LW,2022,WPG
,12,12,Kyle Connor,31,82,12,LW,2023,WPG
252,13,22,Lee Stempniak,14,57,27,RW,2005,STL
253,25,23,Lee Stempniak,27,82,52,RW,2006,STL
254,25,24,Lee Stempniak,13,80,38,RW,2007,STL
255,30,25,Lee Stempniak,14,75,44,RW,2008,TOT
256,20,26,Lee Stempniak,28,80,48,RW,2009,TOT
257,19,27,Lee Stempniak,19,82,38,RW,2010,PHX
258,14,28,Lee Stempniak,14,61,28,RW,2011,CGY
259,23,29,Lee Stempniak,9,47,32,RW,2012,CGY
260,22,30,Lee Stempniak,12,73,34,RW,2013,TOT
261,13,31,Lee Stempniak,15,71,28,RW,2014,WPG
262,32,32,Lee Stempniak,19,82,51,RW,2015,TOT
263,24,33,Lee Stempniak,16,82,40,RW,2016,CAR
264,6,34,Lee Stempniak,3,37,9,RW,2017,CAR
,12,12,Lee Stempniak,10,82,12,LW,2019,CAR
,12,12,Lee Stempniak,9,82,12,LW,2020,CAR
,12,12,Lee Stempniak,6,82,12,LW,2021,CAR
,12,12,Lee Stempniak,4,82,12,LW,2022,CAR
,12,12,Lee Stempniak,4,82,12,LW,2023,CAR
265,2,21,Lucas Wallmark,0,8,2,C,2016,CAR
266,0,22,Lucas Wallmark,1,11,1,C,2017,CAR
,12,12,Lucas Wallmark,0,82,12,LW,2019,CAR
,12,12,Lucas Wallmark,0,82,12,LW,2020,CAR
,12,12,Lucas Wallmark,0,82,12,LW,2021,CAR
,12,12,Lucas Wallmark,0,82,12,LW,2022,CAR
,12,12,Lucas Wallmark,0,82,12,LW,2023,CAR
267,6,24,Luke Glendening,1,56,7,C,2013,DET
268,6,25,Luke Glendening,12,82,18,C,2014,DET
269,13,26,Luke Glendening,8,81,21,C,2015,DET
270,11,27,Luke Glendening,3,74,14,C,2016,DET
271,8,28,Luke Glendening,11,69,19,RW,2017,DET
,12,12,Luke Glendening,0,82,12,LW,2019,DET
,12,12,Luke Glendening,0,82,12,LW,2020,DET
,12,12,Luke Glendening,0,82,12,LW,2021,DET
,12,12,Luke Glendening,0,82,12,LW,2022,DET
,12,12,Luke Glendening,0,82,12,LW,2023,DET
272,0,24,Luke Witkowski,0,16,0,D,2014,TBL
273,0,25,Luke Witkowski,0,4,0,D,2015,TBL
274,4,26,Luke Witkowski,0,34,4,D,2016,TBL
275,3,27,Luke Witkowski,1,31,4,RW,2017,DET
,12,12,Luke Witkowski,0,82,12,LW,2019,DET
,12,12,Luke Witkowski,0,82,12,LW,2020,DET
,12,12,Luke Witkowski,0,82,12,LW,2021,DET
,12,12,Luke Witkowski,0,82,12,LW,2022,DET
,12,12,Luke Witkowski,0,82,12,LW,2023,DET
276,0,20,Marcus Kruger,0,7,0,C,2010,CHI
277,17,21,Marcus Kruger,9,71,26,C,2011,CHI
278,9,22,Marcus Kruger,4,47,13,C,2012,CHI
279,20,23,Marcus Kruger,8,81,28,C,2013,CHI
280,10,24,Marcus Kruger,7,81,17,C,2014,CHI
281,4,25,Marcus Kruger,0,41,4,C,2015,CHI
282,12,26,Marcus Kruger,5,70,17,C,2016,CHI
283,5,27,Marcus Kruger,1,48,6,C,2017,CAR
,12,12,Marcus Kruger,0,82,12,LW,2019,CAR
,12,12,Marcus Kruger,0,82,12,LW,2020,CAR
,12,12,Marcus Kruger,0,82,12,LW,2021,CAR
,12,12,Marcus Kruger,0,82,12,LW,2022,CAR
,12,12,Marcus Kruger,0,82,12,LW,2023,CAR
284,0,18,Mark Scheifele,1,7,1,C,2011,WPG
285,0,19,Mark Scheifele,0,4,0,C,2012,WPG
286,21,20,Mark Scheifele,13,63,34,C,2013,WPG
287,34,21,Mark Scheifele,15,82,49,C,2014,WPG
288,32,22,Mark Scheifele,29,71,61,C,2015,WPG
289,50,23,Mark Scheifele,32,79,82,C,2016,WPG
290,37,24,Mark Scheifele,23,60,60,C,2017,WPG
,12,12,Mark Scheifele,31,82,12,LW,2019,WPG
,12,12,Mark Scheifele,31,82,12,LW,2020,WPG
,12,12,Mark Scheifele,31,82,12,LW,2021,WPG
,12,12,Mark Scheifele,24,82,12,LW,2022,WPG
,12,12,Mark Scheifele,22,82,12,LW,2023,WPG
291,13,20,Marko Dano,8,35,21,C,2014,CBJ
292,5,21,Marko Dano,5,34,10,C,2015,TOT
293,7,22,Marko Dano,4,38,11,C,2016,WPG
294,1,23,Marko Dano,2,23,3,C,2017,WPG
,12,12,Marko Dano,0,82,12,LW,2019,WPG
,12,12,Marko Dano,0,82,12,LW,2020,WPG
,12,12,Marko Dano,0,82,12,LW,2021,WPG
,12,12,Marko Dano,0,82,12,LW,2022,WPG
,12,12,Marko Dano,0,82,12,LW,2023,WPG
295,0,23,Martin Frk,0,2,0,RW,2016,CAR
296,14,24,Martin Frk,11,68,25,RW,2017,DET
,12,12,Martin Frk,0,82,12,LW,2019,DET
,12,12,Martin Frk,0,82,12,LW,2020,DET
,12,12,Martin Frk,0,82,12,LW,2021,DET
,12,12,Martin Frk,0,82,12,LW,2022,DET
,12,12,Martin Frk,0,82,12,LW,2023,DET
297,0,19,Martin Necas,0,1,0,C,2017,CAR
,12,12,Martin Necas,0,82,12,LW,2019,CAR
,12,12,Martin Necas,0,82,12,LW,2020,CAR
,12,12,Martin Necas,0,82,12,LW,2021,CAR
,12,12,Martin Necas,0,82,12,LW,2022,CAR
,12,12,Martin Necas,0,82,12,LW,2023,CAR
298,5,22,Mathieu Perreault,4,21,9,C,2009,WSH
299,7,23,Mathieu Perreault,7,35,14,C,2010,WSH
300,14,24,Mathieu Perreault,16,64,30,C,2011,WSH
301,11,25,Mathieu Perreault,6,39,17,C,2012,WSH
302,25,26,Mathieu Perreault,18,69,43,C,2013,ANA
303,23,27,Mathieu Perreault,18,62,41,C,2014,WPG
304,32,28,Mathieu Perreault,9,71,41,C,2015,WPG
305,32,29,Mathieu Perreault,13,65,45,C,2016,WPG
306,22,30,Mathieu Perreault,17,70,39,C,2017,WPG
,12,12,Mathieu Perreault,12,82,12,LW,2019,WPG
,12,12,Mathieu Perreault,12,82,12,LW,2020,WPG
,12,12,Mathieu Perreault,10,82,12,LW,2021,WPG
,12,12,Mathieu Perreault,9,82,12,LW,2022,WPG
,12,12,Mathieu Perreault,6,82,12,LW,2023,WPG
307,0,27,Matt Hendricks,0,4,0,C,2008,COL
308,7,28,Matt Hendricks,9,56,16,C,2009,COL
309,16,29,Matt Hendricks,9,77,25,C,2010,WSH
310,5,30,Matt Hendricks,4,78,9,C,2011,WSH
311,3,31,Matt Hendricks,5,48,8,C,2012,WSH
312,2,32,Matt Hendricks,5,77,7,C,2013,TOT
313,8,33,Matt Hendricks,8,71,16,LW/C,2014,EDM
314,7,34,Matt Hendricks,5,68,12,LW,2015,EDM
315,3,35,Matt Hendricks,4,42,7,LW,2016,EDM
316,8,36,Matt Hendricks,5,60,13,LW,2017,WPG
,12,12,Matt Hendricks,6,82,12,LW,2019,WPG
,12,12,Matt Hendricks,3,82,12,LW,2020,WPG
,12,12,Matt Hendricks,0,82,12,LW,2021,WPG
,12,12,Matt Hendricks,0,82,12,LW,2022,WPG
,12,12,Matt Hendricks,0,82,12,LW,2023,WPG
317,2,20,Mike Green,1,22,3,D,2005,WSH
318,10,21,Mike Green,2,70,12,D,2006,WSH
319,38,22,Mike Green,18,82,56,D,2007,WSH
320,42,23,Mike Green,31,68,73,D,2008,WSH
321,57,24,Mike Green,19,75,76,D,2009,WSH
322,16,25,Mike Green,8,49,24,D,2010,WSH
323,4,26,Mike Green,3,32,7,D,2011,WSH
324,14,27,Mike Green,12,35,26,D,2012,WSH
325,29,28,Mike Green,9,70,38,D,2013,WSH
326,35,29,Mike Green,10,72,45,D,2014,WSH
327,28,30,Mike Green,7,74,35,D,2015,DET
328,22,31,Mike Green,14,72,36,D,2016,DET
329,25,32,Mike Green,8,66,33,D,2017,DET
,12,12,Mike Green,9,82,12,LW,2019,DET
,12,12,Mike Green,6,82,12,LW,2020,DET
,12,12,Mike Green,6,82,12,LW,2021,DET
,12,12,Mike Green,0,82,12,LW,2022,DET
,12,12,Mike Green,0,82,12,LW,2023,DET
330,4,20,Nic Petan,2,26,6,LW,2015,WPG
331,12,21,Nic Petan,1,54,13,LW,2016,WPG
332,0,22,Nic Petan,2,15,2,LW,2017,WPG
,12,12,Nic Petan,3,82,12,LW,2019,WPG
,12,12,Nic Petan,2,82,12,LW,2020,WPG
,12,12,Nic Petan,2,82,12,LW,2021,WPG
,12,12,Nic Petan,2,82,12,LW,2022,WPG
,12,12,Nic Petan,1,82,12,LW,2023,WPG
333,9,26,Nick Jensen,4,49,13,D,2016,DET
334,15,27,Nick Jensen,0,81,15,D,2017,DET
,12,12,Nick Jensen,0,82,12,LW,2019,DET
,12,12,Nick Jensen,0,82,12,LW,2020,DET
,12,12,Nick Jensen,0,82,12,LW,2021,DET
,12,12,Nick Jensen,0,82,12,LW,2022,DET
,12,12,Nick Jensen,0,82,12,LW,2023,DET
335,0,20,Nicolas Roy,0,1,0,C,2017,CAR
,12,12,Nicolas Roy,0,82,12,LW,2019,CAR
,12,12,Nicolas Roy,0,82,12,LW,2020,CAR
,12,12,Nicolas Roy,0,82,12,LW,2021,CAR
,12,12,Nicolas Roy,0,82,12,LW,2022,CAR
,12,12,Nicolas Roy,0,82,12,LW,2023,CAR
336,4,23,Niklas Kronwall,1,20,5,D,2003,DET
337,8,25,Niklas Kronwall,1,27,9,D,2005,DET
338,21,26,Niklas Kronwall,1,68,22,D,2006,DET
339,28,27,Niklas Kronwall,7,65,35,D,2007,DET
340,45,28,Niklas Kronwall,6,80,51,D,2008,DET
341,15,29,Niklas Kronwall,7,48,22,D,2009,DET
342,26,30,Niklas Kronwall,11,77,37,D,2010,DET
343,21,31,Niklas Kronwall,15,82,36,D,2011,DET
344,24,32,Niklas Kronwall,5,48,29,D,2012,DET
345,41,33,Niklas Kronwall,8,79,49,D,2013,DET
346,35,34,Niklas Kronwall,9,80,44,D,2014,DET
347,23,35,Niklas Kronwall,3,64,26,D,2015,DET
348,11,36,Niklas Kronwall,2,57,13,D,2016,DET
349,23,37,Niklas Kronwall,4,79,27,D,2017,DET
,12,12,Niklas Kronwall,1,82,12,LW,2019,DET
,12,12,Niklas Kronwall,1,82,12,LW,2020,DET
,12,12,Niklas Kronwall,1,82,12,LW,2021,DET
,12,12,Niklas Kronwall,1,82,12,LW,2022,DET
,12,12,Niklas Kronwall,1,82,12,LW,2023,DET
350,23,19,Nikolaj Ehlers,15,72,38,RW,2015,WPG
351,39,20,Nikolaj Ehlers,25,82,64,LW,2016,WPG
352,31,21,Nikolaj Ehlers,29,82,60,LW,2017,WPG
,12,12,Nikolaj Ehlers,22,82,12,LW,2019,WPG
,12,12,Nikolaj Ehlers,22,82,12,LW,2020,WPG
,12,12,Nikolaj Ehlers,21,82,12,LW,2021,WPG
,12,12,Nikolaj Ehlers,21,82,12,LW,2022,WPG
,12,12,Nikolaj Ehlers,21,82,12,LW,2023,WPG
353,18,19,Noah Hanifin,4,79,22,D,2015,CAR
354,25,20,Noah Hanifin,4,81,29,D,2016,CAR
355,22,21,Noah Hanifin,10,79,32,D,2017,CAR
,12,12,Noah Hanifin,0,82,12,LW,2019,CAR
,12,12,Noah Hanifin,0,82,12,LW,2020,CAR
,12,12,Noah Hanifin,0,82,12,LW,2021,CAR
,12,12,Noah Hanifin,0,82,12,LW,2022,CAR
,12,12,Noah Hanifin,0,82,12,LW,2023,CAR
356,28,18,Patrik Laine,36,73,64,RW,2016,WPG
357,26,19,Patrik Laine,44,82,70,RW,2017,WPG
,12,12,Patrik Laine,34,82,12,LW,2019,WPG
,12,12,Patrik Laine,34,82,12,LW,2020,WPG
,12,12,Patrik Laine,29,82,12,LW,2021,WPG
,12,12,Patrik Laine,25,82,12,LW,2022,WPG
,12,12,Patrik Laine,25,82,12,LW,2023,WPG
358,50,21,Paul Stastny,28,82,78,C,2006,COL
359,47,22,Paul Stastny,24,66,71,C,2007,COL
360,25,23,Paul Stastny,11,45,36,C,2008,COL
361,59,24,Paul Stastny,20,81,79,C,2009,COL
362,35,25,Paul Stastny,22,74,57,C,2010,COL
363,32,26,Paul Stastny,21,79,53,C,2011,COL
364,15,27,Paul Stastny,9,40,24,C,2012,COL
365,35,28,Paul Stastny,25,71,60,C,2013,COL
366,30,29,Paul Stastny,16,74,46,C,2014,STL
367,39,30,Paul Stastny,10,64,49,C,2015,STL
368,22,31,Paul Stastny,18,66,40,C,2016,STL
369,9,32,Paul Stastny,4,19,13,C,2017,WPG
,12,12,Paul Stastny,10,82,12,LW,2019,WPG
,12,12,Paul Stastny,10,82,12,LW,2020,WPG
,12,12,Paul Stastny,9,82,12,LW,2021,WPG
,12,12,Paul Stastny,6,82,12,LW,2022,WPG
,12,12,Paul Stastny,4,82,12,LW,2023,WPG
370,10,22,Phillip Di Giuseppe,7,41,17,LW,2015,CAR
371,6,23,Phillip Di Giuseppe,1,36,7,LW,2016,CAR
372,8,24,Phillip Di Giuseppe,5,49,13,LW,2017,CAR
,12,12,Phillip Di Giuseppe,0,82,12,LW,2019,CAR
,12,12,Phillip Di Giuseppe,0,82,12,LW,2020,CAR
,12,12,Phillip Di Giuseppe,0,82,12,LW,2021,CAR
,12,12,Phillip Di Giuseppe,0,82,12,LW,2022,CAR
,12,12,Phillip Di Giuseppe,0,82,12,LW,2023,CAR
373,0,20,Riley Sheahan,0,1,0,C,2011,DET
374,0,21,Riley Sheahan,0,1,0,C,2012,DET
375,15,22,Riley Sheahan,9,42,24,C,2013,DET
376,23,23,Riley Sheahan,13,79,36,C,2014,DET
377,11,24,Riley Sheahan,14,81,25,C,2015,DET
378,11,25,Riley Sheahan,2,80,13,C,2016,DET
379,0,26,Riley Sheahan,0,8,0,C,2017,DET
,12,12,Riley Sheahan,0,82,12,LW,2019,DET
,12,12,Riley Sheahan,0,82,12,LW,2020,DET
,12,12,Riley Sheahan,0,82,12,LW,2021,DET
,12,12,Riley Sheahan,0,82,12,LW,2022,DET
,12,12,Riley Sheahan,0,82,12,LW,2023,DET
380,3,22,Roland McKeown,0,10,3,D,2017,CAR
,12,12,Roland McKeown,0,82,12,LW,2019,CAR
,12,12,Roland McKeown,0,82,12,LW,2020,CAR
,12,12,Roland McKeown,0,82,12,LW,2021,CAR
,12,12,Roland McKeown,0,82,12,LW,2022,CAR
,12,12,Roland McKeown,0,82,12,LW,2023,CAR
381,0,21,Sami Niku,1,1,1,D,2017,WPG
,12,12,Sami Niku,0,82,12,LW,2019,WPG
,12,12,Sami Niku,0,82,12,LW,2020,WPG
,12,12,Sami Niku,0,82,12,LW,2021,WPG
,12,12,Sami Niku,0,82,12,LW,2022,WPG
,12,12,Sami Niku,0,82,12,LW,2023,WPG
382,25,19,Sebastian Aho,24,82,49,RW,2016,CAR
383,36,20,Sebastian Aho,29,78,65,RW,2017,CAR
,12,12,Sebastian Aho,31,82,12,LW,2019,CAR
,12,12,Sebastian Aho,31,82,12,LW,2020,CAR
,12,12,Sebastian Aho,31,82,12,LW,2021,CAR
,12,12,Sebastian Aho,31,82,12,LW,2022,CAR
,12,12,Sebastian Aho,31,82,12,LW,2023,CAR
384,0,19,Shawn Matthias,2,4,2,C,2007,FLA
385,2,20,Shawn Matthias,0,16,2,C,2008,FLA
386,9,21,Shawn Matthias,7,55,16,C,2009,FLA
387,10,22,Shawn Matthias,6,51,16,C,2010,FLA
388,14,23,Shawn Matthias,10,79,24,C,2011,FLA
389,7,24,Shawn Matthias,14,48,21,C,2012,FLA
390,11,25,Shawn Matthias,12,77,23,C,2013,TOT
391,9,26,Shawn Matthias,18,78,27,C,2014,VAN
392,16,27,Shawn Matthias,12,71,28,C,2015,TOT
393,4,28,Shawn Matthias,8,45,12,LW,2016,WPG
394,2,29,Shawn Matthias,1,27,3,LW,2017,WPG
,12,12,Shawn Matthias,0,82,12,LW,2019,WPG
,12,12,Shawn Matthias,0,82,12,LW,2020,WPG
,12,12,Shawn Matthias,0,82,12,LW,2021,WPG
,12,12,Shawn Matthias,0,82,12,LW,2022,WPG
,12,12,Shawn Matthias,0,82,12,LW,2023,WPG
395,0,19,Teuvo Teravainen,0,3,0,C,2013,CHI
396,5,20,Teuvo Teravainen,4,34,9,C/LW,2014,CHI
397,22,21,Teuvo Teravainen,13,78,35,C,2015,CHI
398,27,22,Teuvo Teravainen,15,81,42,LW,2016,CAR
399,41,23,Teuvo Teravainen,23,82,64,LW,2017,CAR
,12,12,Teuvo Teravainen,17,82,12,LW,2019,CAR
,12,12,Teuvo Teravainen,17,82,12,LW,2020,CAR
,12,12,Teuvo Teravainen,15,82,12,LW,2021,CAR
,12,12,Teuvo Teravainen,12,82,12,LW,2022,CAR
,12,12,Teuvo Teravainen,12,82,12,LW,2023,CAR
400,33,23,Toby Enstrom,5,82,38,D,2007,ATL
401,27,24,Toby Enstrom,5,82,32,D,2008,ATL
402,44,25,Toby Enstrom,6,82,50,D,2009,ATL
403,41,26,Toby Enstrom,10,72,51,D,2010,ATL
404,27,27,Toby Enstrom,6,62,33,D,2011,WPG
405,11,28,Toby Enstrom,4,22,15,D,2012,WPG
406,20,29,Toby Enstrom,10,82,30,D,2013,WPG
407,19,30,Toby Enstrom,4,60,23,D,2014,WPG
408,14,31,Toby Enstrom,2,72,16,D,2015,WPG
409,13,32,Toby Enstrom,1,60,14,D,2016,WPG
410,5,33,Toby Enstrom,1,43,6,D,2017,WPG
,12,12,Toby Enstrom,1,82,12,LW,2019,WPG
,12,12,Toby Enstrom,1,82,12,LW,2020,WPG
,12,12,Toby Enstrom,1,82,12,LW,2021,WPG
,12,12,Toby Enstrom,1,82,12,LW,2022,WPG
,12,12,Toby Enstrom,1,82,12,LW,2023,WPG
411,0,21,Trevor Carrick,0,2,0,D,2015,CAR
412,0,23,Trevor Carrick,0,1,0,D,2017,CAR
,12,12,Trevor Carrick,0,82,12,LW,2019,CAR
,12,12,Trevor Carrick,0,82,12,LW,2020,CAR
,12,12,Trevor Carrick,0,82,12,LW,2021,CAR
,12,12,Trevor Carrick,0,82,12,LW,2022,CAR
,12,12,Trevor Carrick,0,82,12,LW,2023,CAR
413,5,20,Trevor Daley,1,27,6,D,2003,DAL
414,11,22,Trevor Daley,3,81,14,D,2005,DAL
415,8,23,Trevor Daley,4,74,12,D,2006,DAL
416,19,24,Trevor Daley,5,82,24,D,2007,DAL
417,18,25,Trevor Daley,7,75,25,D,2008,DAL
418,16,26,Trevor Daley,6,77,22,D,2009,DAL
419,19,27,Trevor Daley,8,82,27,D,2010,DAL
420,21,28,Trevor Daley,4,79,25,D,2011,DAL
421,9,29,Trevor Daley,4,44,13,D,2012,DAL
422,16,30,Trevor Daley,9,67,25,D,2013,DAL
423,22,31,Trevor Daley,16,68,38,D,2014,DAL
424,22,32,Trevor Daley,6,82,28,D,2015,TOT
425,14,33,Trevor Daley,5,56,19,D,2016,PIT
426,7,34,Trevor Daley,9,77,16,D,2017,DET
,12,12,Trevor Daley,5,82,12,LW,2019,DET
,12,12,Trevor Daley,5,82,12,LW,2020,DET
,12,12,Trevor Daley,3,82,12,LW,2021,DET
,12,12,Trevor Daley,1,82,12,LW,2022,DET
,12,12,Trevor Daley,1,82,12,LW,2023,DET
427,1,23,Trevor van Riemsdyk,0,18,1,D,2014,CHI
428,11,24,Trevor van Riemsdyk,3,82,14,D,2015,CHI
429,11,25,Trevor van Riemsdyk,5,58,16,D,2016,CHI
430,13,26,Trevor van Riemsdyk,3,79,16,D,2017,CAR
,12,12,Trevor van Riemsdyk,0,82,12,LW,2019,CAR
,12,12,Trevor van Riemsdyk,0,82,12,LW,2020,CAR
,12,12,Trevor van Riemsdyk,0,82,12,LW,2021,CAR
,12,12,Trevor van Riemsdyk,0,82,12,LW,2022,CAR
,12,12,Trevor van Riemsdyk,0,82,12,LW,2023,CAR
431,1,24,Tucker Poolman,1,24,2,D,2017,WPG
,12,12,Tucker Poolman,0,82,12,LW,2019,WPG
,12,12,Tucker Poolman,0,82,12,LW,2020,WPG
,12,12,Tucker Poolman,0,82,12,LW,2021,WPG
,12,12,Tucker Poolman,0,82,12,LW,2022,WPG
,12,12,Tucker Poolman,0,82,12,LW,2023,WPG
432,0,21,Tyler Bertuzzi,0,7,0,LW,2016,DET
433,17,22,Tyler Bertuzzi,7,48,24,LW,2017,DET
,12,12,Tyler Bertuzzi,0,82,12,LW,2019,DET
,12,12,Tyler Bertuzzi,0,82,12,LW,2020,DET
,12,12,Tyler Bertuzzi,0,82,12,LW,2021,DET
,12,12,Tyler Bertuzzi,0,82,12,LW,2022,DET
,12,12,Tyler Bertuzzi,0,82,12,LW,2023,DET
434,37,19,Tyler Myers,11,82,48,D,2009,BUF
435,27,20,Tyler Myers,10,80,37,D,2010,BUF
436,15,21,Tyler Myers,8,55,23,D,2011,BUF
437,5,22,Tyler Myers,3,39,8,D,2012,BUF
438,13,23,Tyler Myers,9,62,22,D,2013,BUF
439,21,24,Tyler Myers,7,71,28,D,2014,WPG
440,18,25,Tyler Myers,9,73,27,D,2015,WPG
441,3,26,Tyler Myers,2,11,5,D,2016,WPG
442,30,27,Tyler Myers,6,82,36,D,2017,WPG
,12,12,Tyler Myers,6,82,12,LW,2019,WPG
,12,12,Tyler Myers,3,82,12,LW,2020,WPG
,12,12,Tyler Myers,0,82,12,LW,2021,WPG
,12,12,Tyler Myers,0,82,12,LW,2022,WPG
,12,12,Tyler Myers,0,82,12,LW,2023,WPG
443,0,21,Valentin Zykov,1,2,1,LW,2016,CAR
444,4,22,Valentin Zykov,3,10,7,LW,2017,CAR
,12,12,Valentin Zykov,0,82,12,LW,2019,CAR
,12,12,Valentin Zykov,0,82,12,LW,2020,CAR
,12,12,Valentin Zykov,0,82,12,LW,2021,CAR
,12,12,Valentin Zykov,0,82,12,LW,2022,CAR
,12,12,Valentin Zykov,0,82,12,LW,2023,CAR
445,22,21,Victor Rask,11,80,33,C,2014,CAR
446,27,22,Victor Rask,21,80,48,C,2015,CAR
447,29,23,Victor Rask,16,82,45,C,2016,CAR
448,17,24,Victor Rask,14,71,31,C,2017,CAR
,12,12,Victor Rask,15,82,12,LW,2019,CAR
,12,12,Victor Rask,15,82,12,LW,2020,CAR
,12,12,Victor Rask,12,82,12,LW,2021,CAR
,12,12,Victor Rask,12,82,12,LW,2022,CAR
,12,12,Victor Rask,10,82,12,LW,2023,CAR
449,1,21,Warren Foegele,2,2,3,LW,2017,CAR
,12,12,Warren Foegele,3,82,12,LW,2019,CAR
,12,12,Warren Foegele,3,82,12,LW,2020,CAR
,12,12,Warren Foegele,2,82,12,LW,2021,CAR
,12,12,Warren Foegele,2,82,12,LW,2022,CAR
,12,12,Warren Foegele,1,82,12,LW,2023,CAR
450,0,20,Xavier Ouellet,0,4,0,D,2013,DET
451,1,21,Xavier Ouellet,2,21,3,D,2014,DET
452,1,22,Xavier Ouellet,0,5,1,D,2015,DET
453,9,23,Xavier Ouellet,3,66,12,D,2016,DET
454,7,24,Xavier Ouellet,0,45,7,D,2017,DET
,12,12,Xavier Ouellet,0,82,12,LW,2019,DET
,12,12,Xavier Ouellet,0,82,12,LW,2020,DET
,12,12,Xavier Ouellet,0,82,12,LW,2021,DET
,12,12,Xavier Ouellet,0,82,12,LW,2022,DET
,12,12,Xavier Ouellet,0,82,12,LW,2023,DET
