,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
72,20,38,Brian Gionta,15,82,35,RW,2016,BUF
73,5,39,Brian Gionta,2,20,7,RW,2017,BOS
,12,12,Brian Gionta,0,82,12,LW,2018,BOS
,12,12,Brian Gionta,0,82,12,LW,2019,BOS
,12,12,Brian Gionta,0,82,12,LW,2020,BOS
74,4,22,Brian Lashoff,2,31,5,D,2012,DET
75,5,23,Brian Lashoff,1,75,6,D,2013,DET
76,2,24,Brian Lashoff,0,11,2,D,2014,DET
77,0,26,Brian Lashoff,0,5,0,D,2016,DET
78,0,27,Brian Lashoff,0,1,0,D,2017,DET
,12,12,Brian Lashoff,0,82,12,LW,2018,DET
,12,12,Brian Lashoff,0,82,12,LW,2019,DET
,12,12,Brian Lashoff,0,82,12,LW,2020,DET
79,10,20,Bryan Little,6,48,16,C,2007,ATL
80,20,21,Bryan Little,31,79,51,RW,2008,ATL
81,21,22,Bryan Little,13,79,34,C,2009,ATL
82,30,23,Bryan Little,18,76,48,C,2010,ATL
83,22,24,Bryan Little,24,74,46,C,2011,WPG
84,25,25,Bryan Little,12,48,32,C,2012,WPG
85,41,26,Bryan Little,23,82,64,RW,2013,WPG
86,28,27,Bryan Little,24,70,52,C,2014,WPG
87,25,28,Bryan Little,17,57,42,C,2015,WPG
88,26,29,Bryan Little,21,59,47,C,2016,WPG
89,27,30,Bryan Little,16,82,43,C,2017,WPG
,12,12,Bryan Little,16,82,12,LW,2018,WPG
,12,12,Bryan Little,20,82,12,LW,2019,WPG
,12,12,Bryan Little,17,82,12,LW,2020,WPG
90,25,20,Charlie McAvoy,7,63,32,D,2017,BOS
,12,12,Charlie McAvoy,0,82,12,LW,2018,BOS
,12,12,Charlie McAvoy,0,82,12,LW,2019,BOS
,12,12,Charlie McAvoy,0,82,12,LW,2020,BOS
91,0,23,Colby Cave,0,3,0,C,2017,BOS
,12,12,Colby Cave,0,82,12,LW,2018,BOS
,12,12,Colby Cave,0,82,12,LW,2019,BOS
,12,12,Colby Cave,0,82,12,LW,2020,BOS
92,1,22,Danny DeKeyser,0,11,1,D,2012,DET
93,19,23,Danny DeKeyser,4,65,23,D,2013,DET
94,29,24,Danny DeKeyser,2,80,31,D,2014,DET
95,12,25,Danny DeKeyser,8,78,20,D,2015,DET
96,8,26,Danny DeKeyser,4,82,12,D,2016,DET
97,6,27,Danny DeKeyser,6,65,12,D,2017,DET
,12,12,Danny DeKeyser,4,82,12,LW,2018,DET
,12,12,Danny DeKeyser,4,82,12,LW,2019,DET
,12,12,Danny DeKeyser,1,82,12,LW,2020,DET
98,0,21,Danton Heinen,0,8,0,C,2016,BOS
99,31,22,Danton Heinen,16,77,47,C,2017,BOS
,12,12,Danton Heinen,0,82,12,LW,2018,BOS
,12,12,Danton Heinen,0,82,12,LW,2019,BOS
,12,12,Danton Heinen,0,82,12,LW,2020,BOS
100,0,21,Darren Helm,0,7,0,C,2007,DET
101,1,22,Darren Helm,0,16,1,C,2008,DET
102,13,23,Darren Helm,11,75,24,C,2009,DET
103,20,24,Darren Helm,12,82,32,C,2010,DET
104,17,25,Darren Helm,9,68,26,C,2011,DET
105,0,26,Darren Helm,0,1,0,C,2012,DET
106,8,27,Darren Helm,12,42,20,C,2013,DET
107,18,28,Darren Helm,15,75,33,C,2014,DET
108,13,29,Darren Helm,13,77,26,C,2015,DET
109,9,30,Darren Helm,8,50,17,C,2016,DET
110,18,31,Darren Helm,13,75,31,LW,2017,DET
,12,12,Darren Helm,10,82,12,LW,2018,DET
,12,12,Darren Helm,8,82,12,LW,2019,DET
,12,12,Darren Helm,7,82,12,LW,2020,DET
111,13,22,David Backes,10,49,23,C,2006,STL
112,18,23,David Backes,13,72,31,RW,2007,STL
113,23,24,David Backes,31,82,54,RW,2008,STL
114,31,25,David Backes,17,79,48,RW,2009,STL
115,31,26,David Backes,31,82,62,RW,2010,STL
116,30,27,David Backes,24,82,54,RW,2011,STL
117,22,28,David Backes,10,48,28,RW,2012,STL
118,30,29,David Backes,27,74,57,C,2013,STL
119,32,30,David Backes,26,80,58,C/RW,2014,STL
120,24,31,David Backes,21,79,45,C,2015,STL
121,21,32,David Backes,17,74,38,RW,2016,BOS
122,19,33,David Backes,14,57,33,RW,2017,BOS
,12,12,David Backes,16,82,12,LW,2018,BOS
,12,12,David Backes,19,82,12,LW,2019,BOS
,12,12,David Backes,17,82,12,LW,2020,BOS
123,7,22,David Booth,3,48,10,LW,2006,FLA
124,18,23,David Booth,22,73,40,LW,2007,FLA
125,29,24,David Booth,31,72,60,LW,2008,FLA
126,8,25,David Booth,8,28,16,LW,2009,FLA
127,17,26,David Booth,23,82,40,LW,2010,FLA
128,14,27,David Booth,16,62,30,LW,2011,TOT
129,2,28,David Booth,2,12,3,LW,2012,VAN
130,10,29,David Booth,9,66,19,LW,2013,VAN
131,6,30,David Booth,7,59,13,LW,2014,TOR
132,1,33,David Booth,4,28,5,LW,2017,DET
,12,12,David Booth,10,82,12,LW,2018,DET
,12,12,David Booth,8,82,12,LW,2019,DET
,12,12,David Booth,7,82,12,LW,2020,DET
133,0,20,David Krejci,0,6,0,C,2006,BOS
134,21,21,David Krejci,6,56,27,C,2007,BOS
135,51,22,David Krejci,22,82,73,C,2008,BOS
136,35,23,David Krejci,17,79,52,C,2009,BOS
137,49,24,David Krejci,13,75,62,C,2010,BOS
138,39,25,David Krejci,23,79,62,C,2011,BOS
139,23,26,David Krejci,17,47,33,C,2012,BOS
140,50,27,David Krejci,19,80,69,C,2013,BOS
141,24,28,David Krejci,7,47,31,C,2014,BOS
142,46,29,David Krejci,17,72,63,C,2015,BOS
143,31,30,David Krejci,23,82,54,C,2016,BOS
144,27,31,David Krejci,17,64,44,C,2017,BOS
,12,12,David Krejci,14,82,12,LW,2018,BOS
,12,12,David Krejci,14,82,12,LW,2019,BOS
,12,12,David Krejci,8,82,12,LW,2020,BOS
145,17,18,David Pastrnak,10,46,27,RW,2014,BOS
146,11,19,David Pastrnak,15,51,26,RW,2015,BOS
147,36,20,David Pastrnak,34,75,70,RW,2016,BOS
148,45,21,David Pastrnak,35,82,80,RW,2017,BOS
,12,12,David Pastrnak,28,82,12,LW,2018,BOS
,12,12,David Pastrnak,30,82,12,LW,2019,BOS
,12,12,David Pastrnak,25,82,12,LW,2020,BOS
149,13,19,Dmitry Kulikov,3,68,16,D,2009,FLA
150,20,20,Dmitry Kulikov,6,72,26,D,2010,FLA
151,24,21,Dmitry Kulikov,4,58,28,D,2011,FLA
152,7,22,Dmitry Kulikov,5,34,10,D,2012,FLA
153,11,23,Dmitry Kulikov,8,81,19,D,2013,FLA
154,19,24,Dmitry Kulikov,3,73,22,D,2014,FLA
155,16,25,Dmitry Kulikov,1,74,17,D,2015,FLA
156,3,26,Dmitry Kulikov,2,47,5,D,2016,BUF
157,8,27,Dmitry Kulikov,3,62,11,D,2017,WPG
,12,12,Dmitry Kulikov,1,82,12,LW,2018,WPG
,12,12,Dmitry Kulikov,2,82,12,LW,2019,WPG
,12,12,Dmitry Kulikov,1,82,12,LW,2020,WPG
158,0,21,Dominic Turgeon,0,5,0,C,2017,DET
,12,12,Dominic Turgeon,0,82,12,LW,2018,DET
,12,12,Dominic Turgeon,0,82,12,LW,2019,DET
,12,12,Dominic Turgeon,0,82,12,LW,2020,DET
159,2,20,Dustin Byfuglien,3,25,5,D,2005,CHI
160,2,21,Dustin Byfuglien,1,9,3,D,2006,CHI
161,17,22,Dustin Byfuglien,19,67,36,D,2007,CHI
162,16,23,Dustin Byfuglien,15,77,31,RW,2008,CHI
163,17,24,Dustin Byfuglien,17,82,34,D,2009,CHI
164,33,25,Dustin Byfuglien,20,81,53,D,2010,ATL
165,41,26,Dustin Byfuglien,12,66,53,D,2011,WPG
166,20,27,Dustin Byfuglien,14,43,28,D,2012,WPG
167,36,28,Dustin Byfuglien,20,78,56,D,2013,WPG
168,27,29,Dustin Byfuglien,18,69,45,D,2014,WPG
169,34,30,Dustin Byfuglien,19,81,53,D,2015,WPG
170,39,31,Dustin Byfuglien,13,80,52,D,2016,WPG
171,37,32,Dustin Byfuglien,8,69,45,D,2017,WPG
,12,12,Dustin Byfuglien,10,82,12,LW,2018,WPG
,12,12,Dustin Byfuglien,8,82,12,LW,2019,WPG
,12,12,Dustin Byfuglien,7,82,12,LW,2020,WPG
172,22,19,Dylan Larkin,23,80,45,C,2015,DET
173,15,20,Dylan Larkin,17,80,32,C,2016,DET
174,47,21,Dylan Larkin,16,82,63,C,2017,DET
,12,12,Dylan Larkin,16,82,12,LW,2018,DET
,12,12,Dylan Larkin,20,82,12,LW,2019,DET
,12,12,Dylan Larkin,17,82,12,LW,2020,DET
175,0,20,Evgeny Svechnikov,0,2,0,RW,2016,DET
176,2,21,Evgeny Svechnikov,2,14,4,RW,2017,DET
,12,12,Evgeny Svechnikov,0,82,12,LW,2018,DET
,12,12,Evgeny Svechnikov,0,82,12,LW,2019,DET
,12,12,Evgeny Svechnikov,0,82,12,LW,2020,DET
177,1,22,Frans Nielsen,1,15,2,C,2006,NYI
178,1,23,Frans Nielsen,2,16,3,C,2007,NYI
179,24,24,Frans Nielsen,9,59,33,C,2008,NYI
180,26,25,Frans Nielsen,12,76,38,C,2009,NYI
181,31,26,Frans Nielsen,13,71,44,C,2010,NYI
182,30,27,Frans Nielsen,17,82,47,C,2011,NYI
183,23,28,Frans Nielsen,10,48,29,C,2012,NYI
184,33,29,Frans Nielsen,25,80,58,C,2013,NYI
185,29,30,Frans Nielsen,14,78,43,C,2014,NYI
186,32,31,Frans Nielsen,20,81,52,C,2015,NYI
187,24,32,Frans Nielsen,17,79,41,C,2016,DET
188,17,33,Frans Nielsen,16,79,33,C,2017,DET
,12,12,Frans Nielsen,14,82,12,LW,2018,DET
,12,12,Frans Nielsen,14,82,12,LW,2019,DET
,12,12,Frans Nielsen,8,82,12,LW,2020,DET
189,6,22,Gustav Nyquist,1,18,7,LW,2011,DET
190,3,23,Gustav Nyquist,5,22,6,LW,2012,DET
191,20,24,Gustav Nyquist,28,57,48,RW,2013,DET
192,27,25,Gustav Nyquist,27,82,54,RW/C,2014,DET
193,26,26,Gustav Nyquist,17,82,43,RW,2015,DET
194,36,27,Gustav Nyquist,12,76,48,RW,2016,DET
195,19,28,Gustav Nyquist,21,82,40,RW,2017,DET
,12,12,Gustav Nyquist,14,82,12,LW,2018,DET
,12,12,Gustav Nyquist,8,82,12,LW,2019,DET
,12,12,Gustav Nyquist,8,82,12,LW,2020,DET
196,22,22,Henrik Zetterberg,22,79,44,LW,2002,DET
197,28,23,Henrik Zetterberg,15,61,43,LW,2003,DET
198,46,25,Henrik Zetterberg,39,77,85,LW,2005,DET
199,35,26,Henrik Zetterberg,33,63,68,LW,2006,DET
200,49,27,Henrik Zetterberg,43,75,92,LW,2007,DET
201,42,28,Henrik Zetterberg,31,77,73,C,2008,DET
202,47,29,Henrik Zetterberg,23,74,70,LW,2009,DET
203,56,30,Henrik Zetterberg,24,80,80,LW,2010,DET
204,47,31,Henrik Zetterberg,22,82,69,LW,2011,DET
205,37,32,Henrik Zetterberg,19,46,48,LW,2012,DET
206,32,33,Henrik Zetterberg,16,45,48,LW,2013,DET
207,49,34,Henrik Zetterberg,17,77,66,LW/C,2014,DET
208,37,35,Henrik Zetterberg,13,82,50,LW,2015,DET
209,51,36,Henrik Zetterberg,17,82,68,LW,2016,DET
210,45,37,Henrik Zetterberg,11,82,56,LW,2017,DET
,12,12,Henrik Zetterberg,10,82,12,LW,2018,DET
,12,12,Henrik Zetterberg,8,82,12,LW,2019,DET
,12,12,Henrik Zetterberg,0,82,12,LW,2020,DET
211,0,20,Jack Roslovic,0,1,0,C,2016,WPG
212,9,21,Jack Roslovic,5,31,14,C,2017,WPG
,12,12,Jack Roslovic,0,82,12,LW,2018,WPG
,12,12,Jack Roslovic,0,82,12,LW,2019,WPG
,12,12,Jack Roslovic,0,82,12,LW,2020,WPG
213,19,19,Jacob Trouba,10,65,29,D,2013,WPG
214,15,20,Jacob Trouba,7,65,22,D,2014,WPG
215,15,21,Jacob Trouba,6,81,21,D,2015,WPG
216,25,22,Jacob Trouba,8,60,33,D,2016,WPG
217,21,23,Jacob Trouba,3,55,24,D,2017,WPG
,12,12,Jacob Trouba,0,82,12,LW,2018,WPG
,12,12,Jacob Trouba,0,82,12,LW,2019,WPG
,12,12,Jacob Trouba,0,82,12,LW,2020,WPG
218,27,21,Jake Debrusk,16,70,43,LW,2017,BOS
,12,12,Jake Debrusk,0,82,12,LW,2018,BOS
,12,12,Jake Debrusk,0,82,12,LW,2019,BOS
,12,12,Jake Debrusk,0,82,12,LW,2020,BOS
219,3,21,Joe Hicketts,0,5,3,D,2017,DET
,12,12,Joe Hicketts,0,82,12,LW,2018,DET
,12,12,Joe Hicketts,0,82,12,LW,2019,DET
,12,12,Joe Hicketts,0,82,12,LW,2020,DET
220,0,21,Joel Armia,0,1,0,RW,2014,BUF
221,6,22,Joel Armia,4,43,10,RW,2015,WPG
222,9,23,Joel Armia,10,57,19,RW,2016,WPG
223,17,24,Joel Armia,12,79,29,RW,2017,WPG
,12,12,Joel Armia,10,82,12,LW,2018,WPG
,12,12,Joel Armia,8,82,12,LW,2019,WPG
,12,12,Joel Armia,8,82,12,LW,2020,WPG
224,0,23,Jonathan Ericsson,1,8,1,D,2007,DET
225,3,24,Jonathan Ericsson,1,19,4,D,2008,DET
226,9,25,Jonathan Ericsson,4,62,13,D,2009,DET
227,12,26,Jonathan Ericsson,3,74,15,D,2010,DET
228,10,27,Jonathan Ericsson,1,69,11,D,2011,DET
229,10,28,Jonathan Ericsson,5,45,13,D,2012,DET
230,10,29,Jonathan Ericsson,1,48,11,D,2013,DET
231,12,30,Jonathan Ericsson,3,82,15,D,2014,DET
232,12,31,Jonathan Ericsson,3,71,15,D,2015,DET
233,8,32,Jonathan Ericsson,1,51,9,D,2016,DET
234,10,33,Jonathan Ericsson,3,81,13,D,2017,DET
,12,12,Jonathan Ericsson,1,82,12,LW,2018,DET
,12,12,Jonathan Ericsson,2,82,12,LW,2019,DET
,12,12,Jonathan Ericsson,1,82,12,LW,2020,DET
235,0,22,Jordan Szwarz,3,26,3,RW,2013,PHX
236,0,23,Jordan Szwarz,1,9,1,RW,2014,ARI
237,3,26,Jordan Szwarz,0,12,3,RW,2017,BOS
,12,12,Jordan Szwarz,0,82,12,LW,2018,BOS
,12,12,Jordan Szwarz,0,82,12,LW,2019,BOS
,12,12,Jordan Szwarz,0,82,12,LW,2020,BOS
238,6,23,Joseph Morrow,1,33,7,D,2015,BOS
239,1,24,Joseph Morrow,0,17,1,D,2016,BOS
240,4,25,Joseph Morrow,1,18,5,D,2017,WPG
,12,12,Joseph Morrow,0,82,12,LW,2018,WPG
,12,12,Joseph Morrow,0,82,12,LW,2019,WPG
,12,12,Joseph Morrow,0,82,12,LW,2020,WPG
241,0,20,Josh Morrissey,0,1,0,D,2015,WPG
242,14,21,Josh Morrissey,6,82,20,D,2016,WPG
243,19,22,Josh Morrissey,7,81,26,D,2017,WPG
,12,12,Josh Morrissey,0,82,12,LW,2018,WPG
,12,12,Josh Morrissey,0,82,12,LW,2019,WPG
,12,12,Josh Morrissey,0,82,12,LW,2020,WPG
244,0,20,Justin Abdelkader,0,2,0,LW,2007,DET
245,0,21,Justin Abdelkader,0,2,0,LW,2008,DET
246,3,22,Justin Abdelkader,3,50,6,LW,2009,DET
247,12,23,Justin Abdelkader,7,74,19,LW,2010,DET
248,14,24,Justin Abdelkader,8,81,22,LW,2011,DET
249,3,25,Justin Abdelkader,17,48,13,LW,2012,DET
250,18,26,Justin Abdelkader,10,70,28,LW,2013,DET
251,21,27,Justin Abdelkader,23,71,44,LW,2014,DET
252,23,28,Justin Abdelkader,19,82,42,LW,2015,DET
253,14,29,Justin Abdelkader,7,64,21,LW,2016,DET
254,22,30,Justin Abdelkader,13,75,35,LW,2017,DET
,12,12,Justin Abdelkader,10,82,12,LW,2018,DET
,12,12,Justin Abdelkader,8,82,12,LW,2019,DET
,12,12,Justin Abdelkader,8,82,12,LW,2020,DET
255,1,21,Kenny Agostino,1,8,2,LW,2013,CGY
256,0,23,Kenny Agostino,0,2,0,LW,2015,CGY
257,2,24,Kenny Agostino,1,7,3,LW,2016,STL
258,1,25,Kenny Agostino,0,5,1,LW,2017,BOS
,12,12,Kenny Agostino,0,82,12,LW,2018,BOS
,12,12,Kenny Agostino,0,82,12,LW,2019,BOS
,12,12,Kenny Agostino,0,82,12,LW,2020,BOS
259,5,26,Kevan Miller,1,47,6,D,2013,BOS
260,5,27,Kevan Miller,2,41,7,D,2014,BOS
261,13,28,Kevan Miller,5,71,18,D,2015,BOS
262,10,29,Kevan Miller,3,58,13,D,2016,BOS
263,15,30,Kevan Miller,1,68,16,D,2017,BOS
,12,12,Kevan Miller,1,82,12,LW,2018,BOS
,12,12,Kevan Miller,2,82,12,LW,2019,BOS
,12,12,Kevan Miller,1,82,12,LW,2020,BOS
264,3,20,Kyle Connor,2,20,5,LW,2016,WPG
265,26,21,Kyle Connor,31,76,57,LW,2017,WPG
,12,12,Kyle Connor,22,82,12,LW,2018,WPG
,12,12,Kyle Connor,26,82,12,LW,2019,WPG
,12,12,Kyle Connor,25,82,12,LW,2020,WPG
266,6,24,Luke Glendening,1,56,7,C,2013,DET
267,6,25,Luke Glendening,12,82,18,C,2014,DET
268,13,26,Luke Glendening,8,81,21,C,2015,DET
269,11,27,Luke Glendening,3,74,14,C,2016,DET
270,8,28,Luke Glendening,11,69,19,RW,2017,DET
,12,12,Luke Glendening,0,82,12,LW,2018,DET
,12,12,Luke Glendening,0,82,12,LW,2019,DET
,12,12,Luke Glendening,0,82,12,LW,2020,DET
271,0,24,Luke Witkowski,0,16,0,D,2014,TBL
272,0,25,Luke Witkowski,0,4,0,D,2015,TBL
273,4,26,Luke Witkowski,0,34,4,D,2016,TBL
274,3,27,Luke Witkowski,1,31,4,RW,2017,DET
,12,12,Luke Witkowski,0,82,12,LW,2018,DET
,12,12,Luke Witkowski,0,82,12,LW,2019,DET
,12,12,Luke Witkowski,0,82,12,LW,2020,DET
275,0,18,Mark Scheifele,1,7,1,C,2011,WPG
276,0,19,Mark Scheifele,0,4,0,C,2012,WPG
277,21,20,Mark Scheifele,13,63,34,C,2013,WPG
278,34,21,Mark Scheifele,15,82,49,C,2014,WPG
279,32,22,Mark Scheifele,29,71,61,C,2015,WPG
280,50,23,Mark Scheifele,32,79,82,C,2016,WPG
281,37,24,Mark Scheifele,23,60,60,C,2017,WPG
,12,12,Mark Scheifele,26,82,12,LW,2018,WPG
,12,12,Mark Scheifele,26,82,12,LW,2019,WPG
,12,12,Mark Scheifele,25,82,12,LW,2020,WPG
282,13,20,Marko Dano,8,35,21,C,2014,CBJ
283,5,21,Marko Dano,5,34,10,C,2015,TOT
284,7,22,Marko Dano,4,38,11,C,2016,WPG
285,1,23,Marko Dano,2,23,3,C,2017,WPG
,12,12,Marko Dano,0,82,12,LW,2018,WPG
,12,12,Marko Dano,0,82,12,LW,2019,WPG
,12,12,Marko Dano,0,82,12,LW,2020,WPG
286,0,23,Martin Frk,0,2,0,RW,2016,CAR
287,14,24,Martin Frk,11,68,25,RW,2017,DET
,12,12,Martin Frk,0,82,12,LW,2018,DET
,12,12,Martin Frk,0,82,12,LW,2019,DET
,12,12,Martin Frk,0,82,12,LW,2020,DET
288,5,22,Mathieu Perreault,4,21,9,C,2009,WSH
289,7,23,Mathieu Perreault,7,35,14,C,2010,WSH
290,14,24,Mathieu Perreault,16,64,30,C,2011,WSH
291,11,25,Mathieu Perreault,10,39,17,C,2012,WSH
292,25,26,Mathieu Perreault,18,69,43,C,2013,ANA
293,23,27,Mathieu Perreault,18,62,41,C,2014,WPG
294,32,28,Mathieu Perreault,9,71,41,C,2015,WPG
295,32,29,Mathieu Perreault,13,65,45,C,2016,WPG
296,22,30,Mathieu Perreault,17,70,39,C,2017,WPG
,12,12,Mathieu Perreault,16,82,12,LW,2018,WPG
,12,12,Mathieu Perreault,20,82,12,LW,2019,WPG
,12,12,Mathieu Perreault,17,82,12,LW,2020,WPG
297,0,23,Matt Grzelcyk,0,2,0,D,2016,BOS
298,12,24,Matt Grzelcyk,3,61,15,D,2017,BOS
,12,12,Matt Grzelcyk,0,82,12,LW,2018,BOS
,12,12,Matt Grzelcyk,0,82,12,LW,2019,BOS
,12,12,Matt Grzelcyk,0,82,12,LW,2020,BOS
299,0,27,Matt Hendricks,0,4,0,C,2008,COL
300,7,28,Matt Hendricks,9,56,16,C,2009,COL
301,16,29,Matt Hendricks,9,77,25,C,2010,WSH
302,5,30,Matt Hendricks,4,78,9,C,2011,WSH
303,3,31,Matt Hendricks,9,48,8,C,2012,WSH
304,2,32,Matt Hendricks,5,77,7,C,2013,TOT
305,8,33,Matt Hendricks,8,71,16,LW/C,2014,EDM
